samples_nr,layers,result
200       ,4:5   ,0.6
100       ,3:3   ,0.6129032258064516
200       ,3:3   ,0.6153846153846154
20        ,3:3   ,0.625
1000      ,4:4   ,0.628808864265928
500       ,4:5   ,0.630057803468208
200       ,4:4   ,0.6307692307692307
500       ,3:4   ,0.6416184971098265
500       ,4:4   ,0.653179190751445
1000      ,4:5   ,0.6648199445983379
50        ,3:3   ,0.6666666666666666
50        ,3:4   ,0.6666666666666666
50        ,4:4   ,0.6666666666666666
1000      ,3:3   ,0.6703601108033241
1000      ,3:4   ,0.6759002770083102
500       ,3:3   ,0.6763005780346821
100       ,3:4   ,0.6774193548387096
200       ,3:4   ,0.7076923076923077
50        ,4:5   ,0.7222222222222222
100       ,4:5   ,0.7419354838709677
20        ,3:4   ,0.75
20        ,4:5   ,0.75
100       ,4:4   ,0.8387096774193549
20        ,4:4   ,0.875
